H	4101.74	15
H	4340.47	30
H	4861.33	80
H	6562.72	120
H	6562.852	180
HE	4009.27	1
HE	4120.99	2
HE	4143.76	3
HE	4437.55	3
HE	6867.48	3
HE	4713.38	4
HE	4026.36	5
HE	4387.929	10
HE	5047.74	10
HE	4120.82	12
HE	4921.931	20
HE	4471.68	25
HE	4713.146	30
HE	4026.191	50
HE	5015.678	100
HE	5875.97	100
HE	6678.15	100
HE	4471.479	200
HE	5875.62	500
LI	4971.66	8
LI	4971.75	8
LI	4602.83	13
LI	4602.89	13
LI	4273.07	20
LI	4273.13	20
LI	4132.56	40
LI	4132.62	40
LI	6103.54	320
LI	6103.65	320
LI	6707.76	3600
LI	6707.91	3600
BE	4709.37	6
BE	6229.11	10
BE	4572.66	12
BE	6473.54	30
BE	6564.52	30
BE	6786.56	30
BE	4849.16	40
BE	4253.76	60
BE	5087.75	80
BE	4253.05	100
BE	6982.75	100
BE	4407.94	400
C	6007.18	110
C	6010.68	150
C	4771.75	200
C	4932.05	200
C	5052.17	200
C	6001.13	200
C	6587.61	200
C	6006.03	250
C	6014.84	250
C	5380.34	300
C	6013.22	300
N	4099.94	140
N	5292.68	140
N	4914.94	160
N	4950.23	160
N	5999.43	160
N	6491.22	160
N	4847.38	180
N	4109.95	185
N	5281.2	185
N	6411.65	185
N	6437.68	185
N	6457.9	185
N	6506.31	185
N	6622.54	185
N	6636.94	185
N	6646.5	185
N	6722.62	185
N	4935.12	210
N	6008.47	210
N	6420.64	210
N	6423.02	210
N	6428.32	210
N	6499.54	210
N	6656.51	210
N	5854.04	235
N	6440.94	235
N	6644.96	235
N	6653.46	235
N	5764.75	240
N	5829.54	265
N	6481.71	265
N	6468.44	300
N	6483.75	300
N	6484.8	325
N	4963.98	350
N	6482.7	360
N	5752.5	700
O	4233.27	80
O	5995.28	80
O	6256.83	80
O	6604.91	80
O	5435.18	90
O	4368.25	100
O	6106.27	100
O	6261.55	100
O	6366.34	100
O	6374.32	100
