H	            926.226	            15
H	            930.748	            20
H	            937.803	            30
H	            949.743	            50
H	            972.537	            100
H	            1025.722	            300
H	            1215.668	            1000
H	            1215.674	            500
H	            3835.384	            5
H	            3889.049	            6
H	            3970.072	            8
H	            4101.74	            15
H	            4340.47	            30
H	            4861.33	            80
H	            6562.72	            120
H	            6562.852	            180
H	            9545.97	            5
H	            10049.4	            7
H	            10938.1	            12
H	            12818.1	            20
H	            18751	            40
H	            21655.301	            5
H	            26251.5	            8
H	            40511.602	            15
H	            46525.102	            4
H	            74578	            6
H	            123685	            3
HE	            231.454	            15
HE	            232.584	            20
HE	            234.347	            30
HE	            237.331	            50
HE	            243.027	            100
HE	            256.317	            300
HE	            303.78	            1000
HE	            303.786	            500
HE	            320.293	            10
HE	            505.5	            2
HE	            505.684	            3
HE	            505.912	            4
HE	            506.2	            5
HE	            506.57	            7
HE	            507.058	            10
HE	            507.718	            15
HE	            508.643	            20
HE	            509.998	            25
HE	            512.098	            35
HE	            515.616	            50
HE	            522.213	            100
HE	            537.03	            400
HE	            584.334	            1000
HE	            591.412	            50
HE	            958.7	            5
HE	            972.11	            6
HE	            992.36	            8
HE	            1025.27	            15
HE	            1084.94	            30
HE	            1215.09	            35
HE	            1215.17	            50
HE	            1640.34	            120
HE	            1640.47	            180
HE	            2385.4	            7
HE	            2511.2	            9
HE	            2577.6	            50
HE	            2723.19	            1
HE	            2733.3	            12
HE	            2763.8	            2
HE	            2818.2	            10
HE	            2829.08	            4
HE	            2945.11	            10
HE	            3013.7	            40
HE	            3187.74	            20
HE	            3202.96	            3
HE	            3203.1	            15
HE	            3354.55	            1
HE	            3447.59	            2
HE	            3587.27	            1
HE	            3613.64	            3
HE	            3634.23	            2
HE	            3705	            3
HE	            3732.86	            1
HE	            3819.607	            10
HE	            3819.76	            1
HE	            3888.65	            500
HE	            3964.729	            20
HE	            4009.27	            1
HE	            4026.191	            50
HE	            4026.36	            5
HE	            4120.82	            12
HE	            4120.99	            2
HE	            4143.76	            3
HE	            4387.929	            10
HE	            4437.55	            3
HE	            4471.479	            200
HE	            4471.68	            25
HE	            4685.4	            6
HE	            4685.7	            30
HE	            4713.146	            30
HE	            4713.38	            4
HE	            4921.931	            20
HE	            5015.678	            100
HE	            5047.74	            10
HE	            5411.52	            5
HE	            5875.62	            500
HE	            5875.97	            100
HE	            6560.1	            8
HE	            6678.15	            100
HE	            6867.48	            3
HE	            7065.19	            200
HE	            7065.71	            30
HE	            7281.35	            50
HE	            7816.15	            1
HE	            8361.69	            2
HE	            9063.27	            2
HE	            9210.34	            2
HE	            9463.61	            10
HE	            9516.6	            4
HE	            9526.17	            3
HE	            9529.27	            1
HE	            9603.42	            1
HE	            9702.6	            3
HE	            10027.73	            6
HE	            10031.16	            2
HE	            10123.6	            15
HE	            10138.5	            1
